No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
29,Win,29–0,Oktay Urkal,TKO,"11 (12), 1:01","Mar 3, 2007","Roberto Clemente Coliseum, San Juan, Puerto Rico",Retained WBA welterweight title
28,Win,28–0,Carlos Quintana,RTD,"5 (12), 3:00","Dec 2, 2006","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Won vacant WBA welterweight title
27,Win,27–0,Paulie Malignaggi,UD,12,"Jun 10, 2006","Madison Square Garden, New York City, New York, U.S.",Retained WBO light welterweight title
26,Win,26–0,Gianluca Branco,TKO,"8 (12), 0:49","Mar 4, 2006","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained WBO light welterweight title
25,Win,25–0,Ricardo Torres,KO,"7 (12), 1:52","Sep 24, 2005","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained WBO light welterweight title
24,Win,24–0,Muhammad Abdullaev,TKO,"9 (12), 0:57","Jun 11, 2005","Madison Square Garden, New York City, New York, U.S.",Retained WBO light welterweight title
23,Win,23–0,DeMarcus Corley,TKO,"5 (12), 2:45","Feb 26, 2005","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained WBO light welterweight title
22,Win,22–0,Randall Bailey,TKO,"6 (12), 1:39","Dec 11, 2004","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBO light welterweight title
21,Win,21–0,Kelson Pinto,TKO,"6 (12), 0:32","Sep 11, 2004","José Miguel Agrelot Coliseum, San Juan, Puerto Rico",Won vacant WBO light welterweight title
20,Win,20–0,Lovemore N'dou,UD,12,"May 8, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC International light welterweight title; Won vacant WBA Fedelatin light welterweight title
19,Win,19–0,Victoriano Sosa,TKO,"4 (12), 2:51","Feb 28, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC International light welterweight title
18,Win,18–0,Carlos Maussa,TKO,"8 (12), 2:07","Dec 6, 2003","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained WBC International light welterweight title
17,Win,17–0,Demetrio Ceballos,TKO,"7 (12), 2:28","Sep 13, 2003","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC International light welterweight title
16,Win,16–0,Rocky Martinez,KO,"2 (12), 2:42","Jun 28, 2003","Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",Retained WBC International light welterweight title; Won vacant WBO–NABO light welterweight title
15,Win,15–0,Joel Perez,KO,"4 (10), 1:29","Apr 19, 2003","Selland Arena, Fresno, California, U.S.",
14,Win,14–0,César Bazán,TKO,"11 (12), 0:16","Feb 1, 2003","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won vacant WBC International light welterweight title
13,Win,13–0,Ubaldo Hernandez,KO,"7 (10), 1:31","Nov 22, 2002","Coliseo Héctor Solá Bezares, Caguas, Puerto Rico",
12,Win,12–0,John Brown,UD,10,"Sep 14, 2002","Mandalay Bay Events Center, Paradise, Nevada, U.S.",
11,Win,11–0,Carlos Alberto Ramirez,KO,"3 (10), 2:34","Jul 30, 2002","Lucky Star Casino, Concho, Oklahoma, U.S.",
10,Win,10–0,Justin Juuko,TKO,"5 (10), 2:44","Jun 22, 2002","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
9,Win,9–0,Juan Angel Macias,TKO,"7 (10), 1:54","May 3, 2002","The Orleans, Paradise, Nevada, U.S.",
8,Win,8–0,Sammy Sparkman,TKO,"2 (10), 2:49","Mar 1, 2002","Coliseo Guillermo Angulo, Carolina, Puerto Rico",
7,Win,7–0,Joshua Smith,TKO,"2 (8), 1:24","Jan 11, 2002","Coliseo Héctor Solá Bezares, Caguas, Puerto Rico",
6,Win,6–0,Arturo Rodríguez,KO,"2 (6), 2:52","Jul 28, 2001","Staples Center, Los Angeles, California, U.S.",
5,Win,5–0,Rudolfo Lunsford,TKO,"4 (6), 1:00","Jul 1, 2001","Arena Pier 10, San Juan, Puerto Rico",
4,Win,4–0,Martin Ramirez,UD,4,"May 20, 2001","San Juan, Puerto Rico",
3,Win,3–0,Waklimi Young,UD,4,"Apr 28, 2001","Hammerstein Ballroom, New York City, New York, U.S.",
2,Win,2–0,Jacob Godinez,TKO,"2 (4), 1:17","Mar 30, 2001","Convention Center, Fort Worth, Texas, U.S.",
1,Win,1–0,Jason Doucet,TKO,"1 (4), 2:12","Feb 23, 2001","Frank Erwin Center, Austin, Texas, U.S.",
